country,id,year,electricity_aid,electricity_access,rural_electricity_access,urban_electricity_access,fdi,gdp,gdp_per_capita,inflation,life_expectancy,popu_growth,popu_total,rural_popu_growth,urban_popu_growth,unemployment,electricity_access_lag,electricity_access_improvement
Guatemala,GTM,2020,18.0299264,96.6,95.8,97.4,-782.62048,-1.791857695,11.27078233,3.214440622,71.797,1.519987854,16.858333,0.699106194,2.953,2.288806327,95.4,0.012578616
Guatemala,GTM,2021,0.122147,97.9,98.1,97.6,-2985.58877,8.002408036,12.10642254,4.261051274,69.237,1.480316806,17.109746,0.627500193,2.174,2.266255112,96.6,0.013457557
Guatemala,GTM,2022,0.124297,99.1,98.2,97.7,-718.76081,4.118004169,13.29960235,6.885128233,68.674,1.439868495,17.357886,0.554381887,3.051,2.242452955,97.9,0.012257406
Guinea,GIN,2020,19.014572,44.7,19.3,88.3,-173.99,4.920266372,3.395094879,10.60162034,59.327,2.512250121,13.205153,1.919953556,5.993,3.534396425,42.2,0.059241706
Guinea,GIN,2021,18.860626,46.8,21.3,89.8,-200.73,3.9,3.735089827,12.59728826,58.892,2.444317219,13.531906,1.826176313,5.767,3.493701573,44.7,0.046979866
Guinea,GIN,2022,230.955468,47.7,21.3,91,-650.1,4.7,4.087091752,10.493041,58.985,2.390914134,13.859341,1.744853013,5.328,3.469252822,46.8,0.019230769
Guinea-Bissau,GNB,2020,14.747409,33.4,15.1,56.4,-20.67543322,1.5,2.083840421,1.140009394,59.999,2.276453357,2.015828,1.528449923,3.614,3.228982531,30.9,0.080906149
Guinea-Bissau,GNB,2021,21.184122,35.8,15.8,60.5,-17.58297681,6.399952624,2.278023395,2.242488796,59.652,2.202589246,2.060721,1.445262607,3.628,3.150706358,33.4,0.071856287
Guinea-Bissau,GNB,2022,48.049036,37.4,15.8,61,-21.1228779,4.199990232,2.486717546,9.393838775,59.861,2.152839304,2.105566,1.384324041,3.204,3.098652451,35.8,0.044692737
Guyana,GUY,2020,5.078887,92.3,90.5,97.2,-1280.922188,43.47965172,17.03628992,0.993337023,68.486,-0.194366444,0.797202,-0.326880128,15.701,0.16872974,91.6,0.007641921
Guyana,GUY,2021,7.138379,92.9,91.2,97.5,-2234.057115,20.00752973,23.1761332,5.032855746,65.673,0.919614739,0.804567,0.768035889,14.927,1.332754531,92.3,0.006500542
Guyana,GUY,2022,9.312035,93,91.6,98,-437.3458951,63.43986437,40.33759901,6.115055501,65.989,0.515592544,0.808726,0.344378732,12.423,0.979457775,92.9,0.001076426
Haiti,HTI,2020,3.234876,46.3,32.88,80.9,-25,-3.30550547,3.08590305,22.79631136,64.052,1.302919959,11.306801,-0.763589981,15.56,2.884885867,45.4,0.019823789
Haiti,HTI,2021,4.387973,47.2,50.62,81.8,-51.299,-1.798239889,3.114963542,16.84152402,63.192,1.237298997,11.447569,-0.825205318,15.253,2.760112803,46.3,0.019438445
Haiti,HTI,2022,9.423245,49.3,45.008,83,-39.4132,-1.681983969,3.239319005,33.98393195,63.728,1.193341956,11.584996,-0.864032501,14.719,2.659326048,47.2,0.044491525
Honduras,HND,2020,274.162118,93.1,83.4,100,-373.0278549,-8.965082233,5.383568901,3.46841178,71.462,1.622836377,10.121763,0.123593387,10.679,2.7065036,91.1,0.021953897
Honduras,HND,2021,44.291045,94.1,85.7,100,-512.6747502,12.56528438,6.20994035,4.480879634,70.123,1.535139668,10.278345,0.027731733,7.94,2.596999092,93.1,0.010741139
Honduras,HND,2022,105.378029,94.4,86.8,100,-737.7360788,4.14356194,6.820087245,9.089639115,70.728,1.492118559,10.43286,-0.026023483,7.037,2.534459169,94.1,0.003188098
India,IND,2020,277.941853,96.5,95.2,99,-53239.69739,-5.777724707,6.997358393,6.623436776,70.15,0.955220858,1396.387127,0.259976035,7.859,2.263634557,95.9,0.006256517
India,IND,2021,401.641684,99.6,99.3,100,-27488.54312,9.689592492,8.087993803,5.131407472,67.24,0.797216094,1407.563842,0.07698407,6.38,2.125468465,96.5,0.032124352
India,IND,2022,1199.070462,99.2,99.3,100,-35408.00869,6.987039326,9.199567739,6.699034141,67.744,0.680372581,1417.173173,-0.06379522,4.822,2.024671217,99.6,-0.004016064
Indonesia,IDN,2020,162.534427,97,93.5,99.6,-14142.47396,-2.065511829,11.85694333,1.920968006,68.808,0.840389268,271.85797,-0.661230199,4.255,2.005320259,98.9,-0.019211325
Indonesia,IDN,2021,322.380941,99.2,98.2,99.9,-17286.35413,3.702885628,12.89710314,1.560129905,67.57,0.694717688,273.753191,-0.813402954,3.827,1.834015854,97,0.022680412
Indonesia,IDN,2022,850.358537,100,98.2,100,-18067.20797,5.307419348,14.44564316,4.209463834,68.25,0.636555115,275.501339,-0.882772358,3.462,1.754389675,99.2,0.008064516
"Iran, Islamic Rep.",IRN,2020,77.2722146,100,100,100,1192.352179,3.330288459,14.18035331,30.59413904,74.832,0.835176148,87.290193,-1.147034724,9.687,1.473791895,100,0
"Iran, Islamic Rep.",IRN,2021,95.630602,100,100,100,-4400.365984,4.719777732,15.04237411,43.38901627,73.875,0.722822505,87.923432,-1.248735704,9.282,1.341669514,100,0
"Iran, Islamic Rep.",IRN,2022,17.480982,100,100,100,-11608.42556,3.776631402,16.59126457,43.48846417,74.556,0.710745643,88.55057,-1.261653676,9.085,1.314069461,100,0
Iraq,IRQ,2020,226.604228,100,100,100,3006.3,-12.03679309,10.46451163,0.574162679,69.123,2.362111839,42.556984,1.626172652,15.776,2.66584656,100,0
Iraq,IRQ,2021,152.828693,100,100,100,2771.9,1.50218071,12.59652649,6.041864891,70.378,2.26888921,43.533592,1.489418678,16.173,2.587170386,100,0
Iraq,IRQ,2022,710.723301,100,100,100,2326.5,7.639811402,14.19960736,4.994765964,71.336,2.186916934,44.496122,1.369901533,15.588,2.516805592,100,0
Jamaica,JAM,2020,0.219285,99.7,99.3,100,-258.4078906,-9.920322451,9.024006603,5.226777793,71.869,0.236519558,2.820436,-0.506901553,6.501,0.817135661,98.9,0.008088979
Jamaica,JAM,2021,2.480583,100,100,100,-264.325079,4.6014245,9.610989337,5.862782428,70.5,0.257040922,2.827695,-0.526533488,5.188,0.860776649,99.7,0.003009027
Jamaica,JAM,2022,12.446611,100,100,100,-258.446,5.221519852,10.82609346,10.34956884,70.629,-0.011246541,2.827377,-0.835872716,4.083,0.615165967,100,0
Jordan,JOR,2020,25.96171,99.9,98.8,100,-733.943662,-1.102751883,9.523548171,0.333294351,75.184,2.127362818,10.928721,-0.346981242,19.213,2.362820141,99.9,0
Jordan,JOR,2021,8.008392,99.9,98.8,100,-605.915493,3.65564191,9.115019511,1.346093772,74.256,1.989076856,11.148278,-0.46445105,19.837,2.216344393,99.9,0
Jordan,JOR,2022,284.727642,100,98.9,100,-1152.816901,2.428073305,9.871875153,4.229155689,74.215,1.226636566,11.285869,-1.202955748,18.2,1.445769018,99.9,0.001001001
Kazakhstan,KAZ,2020,12.48889,100,100,100,-5875.441739,-2.499999996,30.16460352,6.718154549,71.37,1.298635325,18.755666,0.989628831,4.89,1.526047151,100,0
Kazakhstan,KAZ,2021,0.06582,100,100,100,-1901.441602,4.299999997,33.89389546,8.04147134,70.23,2.296407589,19.191356,1.941408907,5.556,2.556167696,100,0
Kazakhstan,KAZ,2022,0.06582,100,100,100,-8076.528683,3.2,36.59540669,15.02786444,74.44,2.28528529,19.634983,1.883803363,4.86,2.577143051,100,0
Kenya,KEN,2020,152.468218,71.5,62.7,94.1,-568.7838879,-0.272766327,4.81392014,5.405162079,62.675,2.009700111,51.98578,1.334255013,5.621,3.768242363,69.7,0.025824964
Kenya,KEN,2021,113.820655,76.5,68.2,97.5,-53.35759436,7.590489473,5.360361903,6.107936037,61.427,1.942761283,53.005614,1.248738518,5.693,3.706016741,71.5,0.06993007
Kenya,KEN,2022,284.069936,76,65.6,98,-344.3840165,4.846634856,5.902091974,7.659862683,62.055,1.909510311,54.027487,1.195146862,5.805,3.680144053,76.5,-0.006535948
Kiribati,KIR,2020,0.390567,91,94.3,88.4,-2.512229966,-0.641025641,2.721613344,2.553245544,67.266,1.772654752,0.126463,0.078382475,5.7622,3.146885497,89.3,0.019036954
Kiribati,KIR,2021,4.241574,92.8,96.4,88.3,-0.929993218,8.709677419,3.036415136,2.053616768,67.417,1.888540758,0.128874,0.206350691,4.9026,3.212155216,91,0.01978022
Kiribati,KIR,2022,8.902548,94.4,95.98,86,-2.800444394,3.857566766,3.314935747,17.76783917,67.661,1.813156636,0.131232,0.143837648,5.5234,3.088142657,92.8,0.017241379
Kosovo,XKX,2020,7.276604,70.84,61.86,80.84,-326.127458,-5.340275478,10.53261137,0.198227923,76.567,0.070131109,1.790133,1.81110756,8.6204,2.840806608,80.44,-0.11934361
Kosovo,XKX,2021,8.612204,98,96.18,99.04,-382.1520615,10.74565608,12.36270481,3.353691392,76.806,-0.229015994,1.786038,-0.827546282,2.6914,0.544332539,70.84,0.383399209
Kosovo,XKX,2022,12.192938,77.8,65.32,92.24,-580.5797355,4.278498508,13.9394565,11.58051045,79.524,-1.010215326,1.768086,-0.311243208,9.1176,0.934806444,98,-0.206122449
Kyrgyz Republic,KGZ,2020,32.328113,99.9,99.9,99.8,582.4052,-7.148977577,5.294015747,6.325422963,71.8,1.897863823,6.5799,1.479061527,4.63,2.619484054,99.9,0
Kyrgyz Republic,KGZ,2021,47.561707,99.7,99.6,99.8,-560.7225,5.507007627,5.802388972,11.90503982,71.9,2.898362886,6.7734,2.438042506,4.096,3.682120672,99.9,-0.002002002
Kyrgyz Republic,KGZ,2022,147.033057,99.7,99.6,100,-509.461,8.9675052,6.572382761,13.92290932,72.04878049,2.931481417,6.9749,2.429062743,4.055,3.775906678,99.7,0
Lao PDR,LAO,2020,1.978482,99.3,99,99.9,-967.7060862,0.503031829,7.942722599,5.10407263,68.497,1.47745666,7.319399,0.470138668,2.314,3.270805552,98.4,0.009146341
Lao PDR,LAO,2021,0.111118,100,100,100,-1071.913716,2.528351005,8.111056067,3.755620367,68.061,1.433214065,7.425057,0.409309689,1.997,3.205785518,99.3,0.007049345
Lao PDR,LAO,2022,0.111118,100,100,100,-635.807276,2.707426526,8.793557551,22.95622251,68.999,1.396495684,7.529475,0.355601032,1.209,3.148815865,100,0
Lebanon,LBN,2020,0.502349,100,99.8,100,-1577.981266,-21.39989969,16.37304799,84.86433305,77.804,-2.079336906,5.662923,-3.575939801,13.235,-1.891366858,100,0
Lebanon,LBN,2021,1.69539,100,100,100,-1938.565216,-7.001238625,11.86005863,154.756096,75.047,-1.249035167,5.592631,-2.777675695,12.621,-1.060279355,100,0
Lebanon,LBN,2022,21.307654,100,100,100,-460.6867771,-0.621678971,12.85266602,171.2054913,74.416,-1.856912493,5.489739,-3.418492131,11.599,-1.667404485,100,0
Lesotho,LSO,2020,0.649836,47.5,35.2,77.5,-28.00166692,-7.458717059,2.537792082,4.978096763,54.693,1.267840873,2.2541,0.64560554,18.351,2.805682831,44.6,0.065022422
Lesotho,LSO,2021,2.839676,50.4,37.7,80.6,12.37219246,1.852678521,2.516977753,6.04774592,53.062,1.20621788,2.281454,0.56727865,18.129,2.751412734,47.5,0.061052632
Lesotho,LSO,2022,9.204356,50,37.7,83.6,7.820069161,1.285504125,2.699990941,8.271803899,53.036,1.062557097,2.305825,0.403874539,16.668,2.620828123,50.4,-0.007936508
Liberia,LBR,2020,43.671271,27.6,8.1,45.4,-737.9679466,-2.982491276,1.679705449,39.73177806,60.948,2.031168603,5.087584,1.046684322,4.092,2.945325974,23.1,0.194805195
Liberia,LBR,2021,36.783885,29.8,8.1,49.5,-535.5829055,4.986712835,1.558742249,22.95103104,60.747,2.05886078,5.193416,1.043515837,3.792,2.983750285,27.6,0.079710145
Liberia,LBR,2022,89.523249,31.8,14.9,53.7,-960.1924687,4.808105173,1.712683247,24.56224769,61.1,2.082087222,5.302681,1.039288467,2.99,3.013573699,29.8,0.067114094
Libya,LBY,2020,6.3326664,69.4,87.3,100,350.4,-58.31823042,16.26187902,1.44703657,72.472,1.283445092,6.653942,-0.248055659,19.535,1.653430898,68.5,0.013138686
Libya,LBY,2021,1.019172,70.2,76.42,100,-377.6,153.4926407,18.17152297,2.868330278,71.911,1.214947645,6.735277,-0.36671793,19.595,1.589752615,69.4,0.011527378
Libya,LBY,2022,1.019172,70,51.88,100,-312.0503747,1.336148097,19.48790102,4.510301492,72.151,1.137688282,6.812341,-0.496109095,19.319,1.517238127,70.2,-0.002849003
Madagascar,MDG,2020,22.488832,32,6.7,72.4,-239.3737346,-7.137671621,1.528782411,4.201793122,65.182,2.482422893,28.225177,1.393458517,3.246,4.244365289,31,0.032258065
Madagascar,MDG,2021,14.964509,35.1,10.9,72.6,-243.2093758,5.739615739,1.642304162,5.812251188,64.485,2.416869374,28.915653,1.315918917,3.415,4.148299413,32,0.096875
Madagascar,MDG,2022,48.232717,36.1,10.9,71.6,-325.8312006,3.796199089,1.781782812,8.16059032,65.23,2.37869515,29.611714,1.262158169,3.186,4.085676867,35.1,0.028490028
Malawi,MWI,2020,16.404017,11.5,3.5,49.6,-406.0856555,0.799998331,1.560961347,8.625514697,63.717,2.665771783,19.377061,2.359844372,5.681,4.128184959,11.2,0.026785714
Malawi,MWI,2021,13.377243,14.2,5.6,54.2,-101.8690894,2.751402609,1.728825398,9.330144108,62.904,2.611417766,19.889742,2.286325063,5.585,4.13757318,11.5,0.234782609
Malawi,MWI,2022,71.414019,14,5.6,54,-206.2480316,0.923449719,1.820452233,20.95396973,62.898,2.559138271,20.405317,2.212265264,5.051,4.156925538,14.2,-0.014084507
Malaysia,MYS,2020,3.865348,100,100,100,-762.7780474,-5.456846584,28.04538736,-1.138702154,75.938,1.199859622,33.199993,-1.192485227,4.54,1.919132768,100,0
Malaysia,MYS,2021,0.00167,100,100,100,-7460.181234,3.297641008,30.4560929,2.477102415,74.884,1.119853991,33.573874,-1.254873829,4.64,1.812110672,100,0
Malaysia,MYS,2022,0.021406,100,100,100,-3216.658619,8.650344224,35.04031009,3.378698625,76.26,1.079363741,33.938221,-1.270483121,3.93,1.743852005,100,0
Maldives,MDV,2020,15.096642,100,100,100,-440.7117094,-32.90882878,13.10385051,-1.369774256,79.875,1.949134572,0.514438,1.225282131,5.404,3.014630756,100,0
Maldives,MDV,2021,3.783972,100,100,100,-642.8307136,37.68719229,18.8657193,0.543149689,79.918,1.355177392,0.521457,0.622849442,5.021,2.41402268,100,0
Maldives,MDV,2022,8.899786,100,100,100,-732.2271008,13.90667638,22.90005882,2.333143376,80.839,0.445829655,0.523787,-0.293794181,4.424,1.496245692,100,0
Mali,MLI,2020,14.197095,50.6,16.8,93.9,-535.6968161,-1.235450447,2.351289606,0.43808894,58.633,3.142603659,21.22404,1.773893183,3.528,4.918746329,47.9,0.056367432
Mali,MLI,2021,8.593452,53.4,18.3,96.9,-584.0690237,3.052613569,2.399461535,3.925602831,58.941,3.157964369,21.904983,1.779305136,2.29,4.891910534,50.6,0.055335968
Mali,MLI,2022,140.812508,53,18.3,99.7,-671.8362045,3.474951711,2.576659105,9.621476085,59.417,3.095209254,22.59359,1.711937322,3.09,4.781999432,53.4,-0.007490637
Marshall Islands,MHL,2020,0.206999,98.3,100,95.7,-3.045061113,-2.845981661,6.02468032,7.030557894,64.977,-2.98407683,0.043413,-4.671332022,6.3306,-2.497205788,96.8,0.015495868
Marshall Islands,MHL,2021,28.1646354,99.8,100,96,-0.499428443,1.112300902,6.577489177,3.931468352,65.269,-3.189954901,0.04205,-4.856715999,4.6216,-2.719255182,98.3,0.01525941
Marshall Islands,MHL,2022,2.330374,100,100,96.1,-157.8751623,-0.675525739,7.0739682,16.16507677,65.146,-1.150468925,0.041569,-2.80495421,3.4788,-0.693058478,99.8,0.002004008
Mauritania,MRT,2020,38.134846,45.4,58.3,87.5,-927.9162658,-0.360657379,5.870299805,2.385694885,64.532,2.58400208,4.498604,0.765087692,11.01,4.077189084,44.9,0.011135857
Mauritania,MRT,2021,16.348824,47.7,58.64,89.7,-1061.518903,0.7427155,5.988203551,3.565164847,64.364,2.553910771,4.614974,0.733250156,11.068,4.000166347,45.4,0.050660793
Mauritania,MRT,2022,67.664806,49,37.008,91.6,-1401.620462,6.387023096,6.6447752,9.525266286,64.691,2.591601268,4.736139,0.774291763,10.602,3.989160291,47.7,0.027253669
Mauritius,MUS,2020,20.541725,99.5,99.5,99.4,12733.70324,-14.54653815,21.3262244,2.580800772,74.17707317,0.00229068,1.266014,0.012400984,8.627,-0.012401683,100,-0.005
Mauritius,MUS,2021,0.052986,99.6,99.8,99.3,2426.797665,3.403798662,22.73757294,4.028528882,73.6802439,0.025272988,1.266334,-0.000133336,7.719,0.062186707,99.5,0.001005025
Mauritius,MUS,2022,0.052986,100,100,99,9339.260069,8.87988519,26.57975609,10.77375122,73.51463415,-0.301401217,1.262523,-0.360522486,6.322,-0.215590864,99.6,0.004016064
Mexico,MEX,2020,100.21057,99.4,97.7,99.8,-26490.31648,-8.624555731,19.47308849,3.396834156,70.133,0.727243816,125.998302,-0.751209475,4.441,1.083378227,99.6,-0.002008032
Mexico,MEX,2021,0.460391,100,100,99.9,-35611.9814,5.739208338,21.13191576,5.689208477,70.213,0.559420832,126.705138,-0.930688376,4.019,0.911823977,99.4,0.006036217
Mexico,MEX,2022,1.831157,100,100,99.8,-21784.38873,3.948999999,23.85912564,7.896276192,74.832,0.628607803,127.504125,-0.878691643,3.256,0.978542829,100,0
Moldova,MDA,2020,5.22584,100,100,100,-151.93,-8.27597832,13.52744131,3.765971222,70.166,-1.098031659,2.63513,-1.31305213,1.206,-0.810520953,100,0
Moldova,MDA,2021,0.00412,100,100,100,-371.84,13.92999979,15.68207033,5.10641129,68.846,-1.503429523,2.595809,-1.764476226,0.794,-1.156308799,100,0
Moldova,MDA,2022,5.658894,100,100,100,-541.08,-5.015482319,16.30176569,28.73729768,68.621,-2.216966827,2.538894,-2.524463045,0.909,-1.810774512,100,0
Mongolia,MNG,2020,1.654215,99.5,98.5,100,-1693.148726,-4.557751976,13.82980256,3.796040261,72.141,1.897015028,3.294335,1.533868049,6.594,2.063236689,98.9,0.006066734
Mongolia,MNG,2021,4.335388,100,100,100,-2060.022768,1.636769577,14.95113657,7.352812434,70.975,1.609371036,3.347782,1.200176327,7.747,1.795619519,99.5,0.005025126
Mongolia,MNG,2022,30.405766,100,100,100,-2428.43714,5.032709637,16.55907453,15.14795609,72.667,1.499669086,3.398366,1.034051107,6.211,1.710255913,100,0
Morocco,MAR,2020,143.109441,100,100,100,-959.4162068,-7.178207442,7.681835449,0.705968661,73.92,1.053160179,36.688772,-0.411330731,11.203,1.903584019,99.6,0.004016064
Morocco,MAR,2021,122.021879,100,100,100,-1621.385379,8.02098437,8.581330078,1.40195884,74.042,1.051484312,37.076584,-0.420857636,10.539,1.886932349,100,0
Morocco,MAR,2022,374.740165,100,100,100,-1654.898394,1.258543984,9.205335938,6.657042028,74.973,1.023391979,37.457971,-0.465299245,9.53,1.848819899,100,0
Mozambique,MOZ,2020,116.777004,30.6,4.6,74.8,-3034.562056,-1.219522503,1.393756781,3.483935675,61.172,2.904819659,31.178239,2.040877495,3.877,4.388500663,29.7,0.03030303
Mozambique,MOZ,2021,152.008035,31.5,3.8,77.4,-5101.667955,2.377435737,1.440459681,6.40847653,59.325,2.842112349,32.077072,1.957811334,3.984,4.325371939,30.6,0.029411765
Mozambique,MOZ,2022,534.174349,33.2,5,79.4,-2458.453111,4.359800201,1.565549233,10.27940181,59.625,2.744193061,32.969518,1.843918169,3.621,4.218860406,31.5,0.053968254
Myanmar,MMR,2020,125.885717,70.4,60.1,93.1,-571.3959594,-9.04834718,5.697288038,4.1063766,66.797,0.719472826,53.423198,0.300652558,1.476,1.651843636,68.3,0.030746706
Myanmar,MMR,2021,31.42382,72.5,62.8,93.6,-924.740466,-12.01637248,5.13888725,79.98874624,65.672,0.699278204,53.798084,0.252443777,4.34,1.680286962,70.4,0.029829545
Myanmar,MMR,2022,35.102078,73.7,62.8,93.9,-4198.819796,4.037493436,5.682541332,41.98611662,67.256,0.706117427,54.179306,0.233828331,2.83,1.727971918,72.5,0.016551724
Namibia,NAM,2020,0.046698,52.3,54.34,74.7,201.5668858,-8.101400746,10.25479841,2.209382369,62.829,1.720310624,2.489098,-0.324612895,20.966,3.643216034,53.3,-0.018761726
Namibia,NAM,2021,0.035507,55.2,33.2,74.7,-822.4402429,3.603829192,10.78508343,3.616905301,59.269,1.63585889,2.530151,-0.411416491,20.877,3.486732954,52.3,0.055449331
Namibia,NAM,2022,0.238581,56.2,33.2,74.8,-1045.15443,5.349664086,11.98741303,6.081281141,58.059,1.446359184,2.567012,-0.597977572,19.748,3.224590171,55.2,0.018115942
Nauru,NRU,2020,0.616207,100,100,100,-533.6436975,1.57480315,10.22300957,1.439928907,63.437,1.497144175,0.012315,-0.443964734,5.8074,1.497144175,100,0
Nauru,NRU,2021,0.639231,100,100,100,-48.81067812,7.751937984,11.34004016,4.712164194,63.617,1.579022576,0.012511,-0.537041869,3.614,1.579022576,100,0
Nauru,NRU,2022,1.022815,100,100,100,-187.0974829,2.158273381,12.24679277,14.58992896,64.014,1.247087134,0.012668,-1.280925103,3.239,1.247087134,100,0
Nepal,NPL,2020,96.908551,89.9,78.94,94.2,-126.6263375,-2.369620629,4.180436985,5.052366553,69.246,1.774268056,29.348627,1.243099124,13.157,3.851477257,89.9,0
Nepal,NPL,2021,117.186254,89.9,80.2,94.2,-196.326024,4.838149614,4.461468785,4.149680034,68.45,2.311723712,30.034989,1.766322859,12.315,4.38952105,89.9,0
Nepal,NPL,2022,337.031174,91.3,93.7,97.7,-65.4558651,5.631314559,4.959883465,7.650791768,70.484,1.692246601,30.54758,1.129851384,10.922,3.779043143,89.9,0.015572859
Nicaragua,NIC,2020,59.611004,86,65.9,100,-707,-1.755380361,6.075558814,3.681813416,71.795,1.370695685,6.755895,0.757764476,6.167,1.798641366,85.7,0.003500583
Nicaragua,NIC,2021,18.166539,86.3,66.3,100,-1205.575961,10.31544841,6.873731177,4.928413969,73.837,1.39120242,6.85054,0.742566938,6.064,1.839262225,86,0.003488372
Nicaragua,NIC,2022,49.945337,86.5,66.3,100,-1274.453434,3.752284757,7.526290384,10.46742445,74.615,1.418278462,6.948392,0.730830815,4.978,1.887827701,86.3,0.002317497
Niger,NER,2020,15.991809,18.7,9.7,63.8,-345.6615492,3.550641094,1.458939934,2.89819376,61.451,3.727100725,24.333639,3.59644789,0.62,4.384869056,18.5,0.010810811
Niger,NER,2021,30.543912,18.6,9.1,65.9,-555.5707085,1.383596362,1.538470747,3.837868028,61.576,3.707423785,25.252722,3.557387531,0.819,4.456430699,18.7,-0.005347594
Niger,NER,2022,175.664546,19.5,7.7,66.1,-957.2564549,11.9,1.775596544,4.226217919,62.08,3.712987818,26.207977,3.541062406,0.552,4.563064136,18.6,0.048387097
